# Upstream command surfaces — fetched evidence, not hand-edited.
# Regenerate: python3 scripts/parity.py --refresh  (needs network)
#
# source	gog	https://raw.githubusercontent.com/openclaw/gogcli/main/docs/commands/README.md	2026-08-20	sha256:ca25e66b0e7fc943578a5591405b95900f4ec25e8e926c0fe40faec529281b89
# source	gws	https://raw.githubusercontent.com/googleworkspace/cli/main/README.md	2026-08-20	sha256:499ff9600cc36f6c547e16ef5b56e7baee05afa35240c010b8873441928a39aa
#
gog	gmail thread modify
gog	gmail track key rotate
gog	gmail track opens
gog	gmail track setup
gog	gmail track status
gog	gmail trash
gog	gmail unread
gog	gmail url
gog	groups list
gog	groups members
gog	keep attachment
gog	keep create
gog	keep delete
gog	keep get
gog	keep list
gog	keep search
gog	login
gog	logout
gog	ls
gog	maps directions
gog	maps distance
gog	maps geocode
gog	maps places details
gog	maps places search
gog	maps reverse-geocode
gog	mcp
gog	me
gog	meet create
gog	meet end
gog	meet get
gog	meet history
gog	meet participants
gog	meet update
gog	open
gog	people get
gog	people me
gog	people raw
gog	people relations
gog	people search
gog	photos download
gog	photos get
gog	photos list
gog	photos picker create
gog	photos picker delete
gog	photos picker download
gog	photos picker get
gog	photos picker list
gog	photos picker wait
gog	photos search
gog	schema
gog	search
gog	searchconsole query
gog	searchconsole searchanalytics query
gog	searchconsole sitemaps delete
gog	searchconsole sitemaps get
gog	searchconsole sitemaps list
gog	searchconsole sitemaps submit
gog	searchconsole sites get
gog	searchconsole sites list
gog	send
gog	sheets add-tab
gog	sheets append
gog	sheets banding clear
gog	sheets banding list
gog	sheets banding set
gog	sheets batch-update
gog	sheets chart create
gog	sheets chart delete
gog	sheets chart get
gog	sheets chart list
gog	sheets chart update
gog	sheets clear
gog	sheets conditional-format add
gog	sheets conditional-format clear
gog	sheets conditional-format list
gog	sheets copy
gog	sheets copy-paste
gog	sheets create
gog	sheets datasource describe
gog	sheets datasource list
gog	sheets datasource table describe
gog	sheets datasource table list
gog	sheets datasource table read
gog	sheets delete-dimension
gog	sheets delete-tab
gog	sheets export
gog	sheets filter set
gog	sheets find-replace
gog	sheets format
gog	sheets freeze
gog	sheets get
gog	sheets insert
gog	sheets links get
gog	sheets links set
gog	sheets merge
gog	sheets metadata
gog	sheets named-ranges add
gog	sheets named-ranges delete
gog	sheets named-ranges get
gog	sheets named-ranges list
gog	sheets named-ranges update
gog	sheets notes
gog	sheets number-format
gog	sheets raw
gog	sheets read-format
gog	sheets rename-tab
gog	sheets reorder-tab
gog	sheets resize-columns
gog	sheets resize-rows
gog	sheets table append
gog	sheets table clear
gog	sheets table create
gog	sheets table delete
gog	sheets table get
gog	sheets table list
gog	sheets unmerge
gog	sheets update
gog	sheets update-note
gog	sheets validation clear
gog	sheets validation get
gog	sheets validation set
gog	sites get
gog	sites list
gog	sites search
gog	sites url
gog	slides add-slide
gog	slides bullets
gog	slides copy
gog	slides create
gog	slides create-from-markdown
gog	slides create-from-template
gog	slides delete-slide
gog	slides duplicate-slide
gog	slides element alt-text
gog	slides element create-line
gog	slides element create-shape
gog	slides element delete
gog	slides element group
gog	slides element style
gog	slides element transform
gog	slides element ungroup
gog	slides element z-order
gog	slides export
gog	slides info
gog	slides insert-image
gog	slides insert-text
gog	slides link
gog	slides list-slides
gog	slides locate
gog	slides move-slide
gog	slides new-slide
gog	slides raw
gog	slides read-slide
gog	slides replace-slide
gog	slides replace-text
gog	slides style-text
gog	slides table border style
gog	slides table cell style
gog	slides table column delete
gog	slides table column insert
gog	slides table column size
gog	slides table create
gog	slides table merge
gog	slides table row delete
gog	slides table row insert
gog	slides table row size
gog	slides table unmerge
gog	slides thumbnail
gog	slides update-notes
gog	status
gog	tasks add
gog	tasks clear
gog	tasks delete
gog	tasks done
gog	tasks get
gog	tasks list
gog	tasks lists create
gog	tasks lists list
gog	tasks raw
gog	tasks undo
gog	tasks update
gog	time now
gog	update status
gog	upload
gog	version
gog	whoami
gog	youtube activities list
gog	youtube channels list
gog	youtube comments list
gog	youtube playlists add
gog	youtube playlists create
gog	youtube playlists delete
gog	youtube playlists items list
gog	youtube playlists list
gog	youtube playlists remove
gog	youtube search list
gog	youtube subscriptions list
gog	youtube subscriptions subscribe
gog	youtube subscriptions unsubscribe
gog	youtube videos list
gog	zoom auth doctor
gog	zoom auth setup
gws	calendar +agenda
gws	calendar +insert
gws	chat +send
gws	docs +write
gws	drive +upload
gws	events +renew
gws	events +subscribe
gws	gmail +forward
gws	gmail +reply
gws	gmail +reply-all
gws	gmail +send
gws	gmail +triage
gws	gmail +watch
gws	modelarmor +create-template
gws	modelarmor +sanitize-prompt
gws	modelarmor +sanitize-response
gws	script +push
gws	sheets +append
gws	sheets +read
gws	workflow +email-to-task
gws	workflow +file-announce
gws	workflow +meeting-prep
gws	workflow +standup-report
gws	workflow +weekly-digest
